SKU,Categoria,Nombre del Producto,Peso/Presentacion,Precio (USD),Slug URL,Descripcion SEO,Meta Descripcion,Palabras Clave,Imagen Principal,Estado,Visibilidad,Inventario
0001,"Charcutería y Embutidos","Morcilla La Montserratina 4 Und","4 UND",5.90,morcilla-la-montserratina-4-und,"Morcilla La Montserratina 4 Und por 5.90. Disponible para delivery.","Morcilla La Montserratina 4 Und por 5.90. Delivery a domicilio.","morcilla, montserratina, und",0001.jpg,Publicado,Visible,100
0001,"Congelados y Charcutería","Tequeños Fiestero Teque Trof 50 Und","50 UND",6.10,tequenos-fiestero-teque-trof-50-und,"Tequeños Fiestero Teque Trof 50 Und a 6.10. Hacemos pedidos por delivery.","Tequeños Fiestero Teque Trof 50 Und por 6.10. Delivery a domicilio.","tequeños, fiestero, teque, trof, und",0001.jpg,Publicado,Visible,100
0001,"Charcutería y Embutidos","Chorizo Ahumado La Montserratina 5 Und","5 UND",8.50,chorizo-ahumado-la-montserratina-5-und,"Chorizo Ahumado La Montserratina 5 Und por 8.50. Pedidos por WhatsApp.","Chorizo Ahumado La Montserratina 5 Und por 8.50. Delivery a domicilio.","chorizo, ahumado, montserratina, und",0001.jpg,Publicado,Visible,100
0001,"Carnicería (Cerdo)","Pork Belly Parrillero Ricci","KG",12.30,pork-belly-parrillero-ricci,"Pork Belly Parrillero Ricci a solo 12.30. Delivery a domicilio.","Pork Belly Parrillero Ricci por 12.30. Delivery a domicilio.","pork, belly, parrillero, ricci",0001.jpg,Publicado,Visible,100
0001,"Carnicería (Cerdo)","Asado de Tira de Cerdo Ricci","KG",12.50,asado-de-tira-de-cerdo-ricci,"Asado de Tira de Cerdo Ricci por 12.50. Consulta disponibilidad.","Asado de Tira de Cerdo Ricci por 12.50. Delivery a domicilio.","asado, tira, cerdo, ricci",0001.jpg,Publicado,Visible,100
0001,"Carnicería (Cerdo)","Copa de Cerdo Ricci","KG",11.99,copa-de-cerdo-ricci,"Llevate Copa de Cerdo Ricci por 11.99.","Copa de Cerdo Ricci por 11.99. Delivery a domicilio.","copa, cerdo, ricci",0001.jpg,Publicado,Visible,100
0001,"Carnicería (Cerdo)","Lomo de Cerdo sin Cuero Ricci","KG",12.30,lomo-de-cerdo-sin-cuero-ricci,"Lomo de Cerdo sin Cuero Ricci por 12.30. Pide el tuyo.","Lomo de Cerdo sin Cuero Ricci por 12.30. Delivery a domicilio.","lomo, cerdo, sin, cuero, ricci",0001.jpg,Publicado,Visible,100
0001,"Carnicería (Cerdo)","Punta Trasera de Cerdo Ricci","KG",12.40,punta-trasera-de-cerdo-ricci,"Punta Trasera de Cerdo Ricci a 12.40. Tenemos stock.","Punta Trasera de Cerdo Ricci por 12.40. Delivery a domicilio.","punta, trasera, cerdo, ricci",0001.jpg,Publicado,Visible,100
0001,"Carnicería y Congelados","Carne de Hamburguesas Ricci","KG",14.50,carne-de-hamburguesas-ricci,"Carne de Hamburguesas Ricci por 14.50. Listo para enviar.","Carne de Hamburguesas Ricci por 14.50. Delivery a domicilio.","carne, hamburguesas, ricci",0001.jpg,Publicado,Visible,100
0001,"Charcutería y Embutidos","Chorizo con Ajo La Montserratina 5 Und","5 UND",8.50,chorizo-con-ajo-la-montserratina-5-und,"Chorizo con Ajo La Montserratina 5 Und a 8.50. A tu pedido.","Chorizo con Ajo La Montserratina 5 Und por 8.50. Delivery a domicilio.","chorizo, con, ajo, montserratina, und",0001.jpg,Publicado,Visible,100
0001,"Varios y Repostería","Masa para Pastelitos Romys 1kg","1 KG",2.00,masa-para-pastelitos-romys-1kg,"Masa para Pastelitos Romys 1kg por 2.00. Disponible para delivery.","Masa para Pastelitos Romys 1kg por 2.00. Delivery a domicilio.","masa, para, pastelitos, romys, 1kg",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Rikomalt Parmalat 250ml","250 ML",2.10,rikomalt-parmalat-250ml,"Rikomalt Parmalat 250ml a 2.10. Hacemos pedidos por delivery.","Rikomalt Parmalat 250ml por 2.10. Delivery a domicilio.","rikomalt, parmalat, 250ml",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Té Crystal 1.5 Lt","1.5 LT",2.80,te-crystal-15-lt,"Té Crystal 1.5 Lt por 2.80. Pedidos por WhatsApp.","Té Crystal 1.5 Lt por 2.80. Delivery a domicilio.","crystal, 1.5",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Agua Aguafiel 600ml","600 ML",0.65,agua-aguafiel-600ml,"Agua Aguafiel 600ml a solo 0.65. Delivery a domicilio.","Agua Aguafiel 600ml por 0.65. Delivery a domicilio.","agua, aguafiel, 600ml",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Jugo Natulac 250ml","250 ML",1.40,jugo-natulac-250ml,"Jugo Natulac 250ml por 1.40. Consulta disponibilidad.","Jugo Natulac 250ml por 1.40. Delivery a domicilio.","jugo, natulac, 250ml",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Bebida Green Spot 500ml","500 ML",1.70,bebida-green-spot-500ml,"Llevate Bebida Green Spot 500ml por 1.70.","Bebida Green Spot 500ml por 1.70. Delivery a domicilio.","bebida, green, spot, 500ml",0001.jpg,Publicado,Visible,100
0001,"Bebidas","Té Negro Limón/Durazno 500ml","500 ML",2.50,te-negro-limondurazno-500ml,"Té Negro Limón/Durazno 500ml por 2.50. Pide el tuyo.","Té Negro Limón/Durazno 500ml por 2.50. Delivery a domicilio.","negro, limón/durazno, 500ml",0001.jpg,Publicado,Visible,100
