producto,precio
Baklava,1.50
Shavier,3.00
Galleta Red Velvet,1.20
Torta Choconutella,3.50
Torta Chocoarequipe,3.50
Torta Selva Negra,3.50
Cheesecake,3.50
Torta Beso de Ángel,4.00
Torta Tres Leches Arequipe,3.00
Torta Tres Leches Fresa,3.00
Torta Tres Leches Limón,3.00
Torta Tres Leches Zanahoria,3.00
Marquesa,3.00
Trufa de Chocolate,1.00
Brazo Gitano,3.00
Cachito de Jamón,1.80
Cachito de Jamón y Queso,2.00
Cachito de Mortadela y Queso,2.00
Pan de Queso,1.50
"Pan de Queso, Tocino y Tajada",1.50
Mini Lunch,3.00
Churros,1.60
Empanadas,2.00
Arepa Rellena Pequeña (2 Contornos),2.50
"Arepas Rellenas Pequeñas (2 Contornos) - Promo 2x5$",5.00
Arepa Rellena Grande (3 Contornos),4.00
"Arepas Rellenas Grandes (3 Contornos) - Promo 2x8$",8.00
Tequeños,1.50
Pastelito,1.50
Pan Francés (Grande),1.90
Pan Francés (Pequeño),1.60
Pan Canilla (Grande),1.90
Pan Canilla (Pequeño),1.60
Pan Canilla Concha Dura,1.90
Pan Perro Pequeño,2.40
Pan Hamburguesa,2.40
Pan Campesino,1.20
Pan Gallego,1.70
Pan Galleguito,1.70
Pan Siciliano,1.50
Pan Masa Madre,2.00
Pan de Guayaba,1.90
Pan Chino,1.90
Pan de Arequipe,1.90
Pan Andino,1.90
Pan Trenza,1.90
Quesadilla / Arequipilla,1.90
Pan de Coco,1.90
Pan de Coco con Leche Condensada,1.90
Pata e Gato,1.90
Pan Uva,3.00
Sándwich Pequeño,1.90
Sándwich Mediano,2.50
Sándwich Grande,4.00
Sándwich Granjero,1.90
Sándwich Granjerito,1.50
Pan Chino Grande,2.50
Pizza Individual,1.00
Brownie Porción,3.00
Torta de Pan,1.20
Donas,1.50
Bombas,1.80
Mini Bombas,1.00
Alfajores (1 Unid),0.60
"Alfajores (Pack 3x1,60$)",1.60
Reinitas (1 Unid),0.60
