" #","Nombre","Precio","Descripción","Categoría","Subcategoría"
"1","Ración de Papa Pequeña","3$","Ración de papas fritas pequeñas","Menú","Menu Kids"
"2","Ración de Papa Grande","4$","Ración de papas fritas grandes","Menú","Menu Kids"
"3","Salchipapa Grande","5$","Salchipapa tamaño grande","Menú","Menu Kids"
"4","Tender de Pollo con Papas Fritas","4.9$","Tenders de pollo acompañados con papas fritas","Menú","Menu Kids"
"5","Burguer Kids","4$","Hamburguesa tamaño infantil","Menú","Menu Kids"
"6","Ración de Tequeños","5$","Ración de tequeños","Menú","Menu Kids"
"7","1 Combo","6$","2 piezas de pollo, ración de ensalada, papas fritas","Menú","Pollo Broaster"
"8","2 Combo","10$","4 piezas de pollo, ración de ensalada, papas fritas","Menú","Pollo Broaster"
"9","Alitas BBQ","7$","Ración de alitas bañadas en salsa BBQ","Menú","Pollo Broaster"
"10","Refresco 355ml","-","Refresco de 355ml","Bebidas","Refrescos"
"11","Refresco 1LT","-","Refresco de 1 litro","Bebidas","Refrescos"
"12","Refresco 1.5LT","-","Refresco de 1.5 litros","Bebidas","Refrescos"
"13","Refresco 2LT","-","Refresco de 2 litros","Bebidas","Refrescos"
"14","Yukery 250 ml","-","Jugo Yukery de 250ml","Bebidas","Jugos"
"15","Jugos Naturales","-","Jugos naturales varios sabores","Bebidas","Jugos"
"16","Lipton 500 ml","-","Té frío Lipton de 500ml","Bebidas","Té Frío"
"17","Lipton 1.5 L","-","Té frío Lipton de 1.5 litros","Bebidas","Té Frío"
"18","Yukery 500ml","-","Jugo Yukery de 500ml","Bebidas","Jugos"
"ID","Nombre","Precio","Descripción","Categoría","Sub Categoría"
"19","Pizza Tradicional","9$","Jamón, aceitunas, cebolla, pimentón, orégano, maíz, queso mozzarella","Pizza","Pizzas"
"20","Pizza Margarita","6$","Queso mozzarella, salsa y orégano","Pizza","Pizzas"
"21","Pizza Primavera","8$","Queso mozzarella, jamón, tocineta, maíz","Pizza","Pizzas"
"22","Pizza Vegetariana","7$","Queso mozzarella, maíz, cebolla, champiñón, pimentón, aceitunas negras","Pizza","Pizzas"
"23","Pizza Pepperoni","10$","Queso mozzarella, pepperoni, jamón","Pizza","Pizzas"
"24","Arepa Frita o Asada (Unidad)","4.5$","Arepa individual (frita o asada)","Arepas","Arepas Individuales"
"25","Arepas Fritas o Asadas (2x8$)","8$","Promoción de 2 arepas (fritas o asadas)","Arepas","Promociones Arepas"
"26","Combo 2 Contornos Arepas","5$","2 arepas con contornos a elegir: mechada, pollo, pernil, chorizo, tajada, reina pepiada, queso amarillo, ensalada cocida, queso blanco, salchicha","Arepas","Combos Arepas"
"27","Empanadas","2$","Sabores a elegir: mechada, pollo, pernil, tajada, queso amarillo, queso blanco, jamón","Empanadas","Empanadas"
"28","Combo Familiar N°1","23$","1 combo de hamburguesa + 1 combo shawarma de pollo","Combos Familiares","Combos Familiares"
"ID","Nombre","Precio","Descripción","Categoría","Sub Categoría"
"28","Combo N°1 Familiar","23$","1 combo de Hamburguesa + 1 combo Shawarma de pollo + 1 combo de Perro pequeño + 1 refresco de 2L","Combos Familiares","Combos Familiares"
"29","Combo N°2 Familiar","17$","2 pizzas primaveras + 1 refresco de 2L","Combos Familiares","Combos Familiares"
"30","Combo N°3 Familiar","20$","1 Tender de pollo + 1 Combo de hamburguesa + 1 combo de Perro Grande + 1 refresco de 1.5L","Combos Familiares","Combos Familiares"
"ID","Nombre","Precio","Descripción","Categoría","Sub Categoría"
"31","Perro Caliente Pequeño (2x4$)","4$","Repollo, cebolla, papas, queso amarillo (2 unidades por 4$)","Perro Caliente","Perro Caliente Tradicional"
"32","Perro Caliente Grande (1x3$)","3$","Repollo, cebolla, papas, queso amarillo (Unidad)","Perro Caliente","Perro Caliente Tradicional"
"33","Perro Caliente Grande (2x5$)","5$","Repollo, cebolla, papas, queso amarillo (Promoción 2 unidades)","Perro Caliente","Perro Caliente Tradicional"
"34","Perro Caliente Polaco (1x3$)","3$","Repollo, cebolla, papas, queso amarillo (Unidad)","Perro Caliente","Perro Caliente Polaco"
"35","Perro Caliente Polaco (2x5$)","5$","Repollo, cebolla, papas, queso amarillo (Promoción 2 unidades)","Perro Caliente","Perro Caliente Polaco"
"36","Perro Caliente Pequeño Especial (1x3$)","3$","Repollo, cebolla, papas, queso amarillo, maíz, tocineta (Unidad)","Perro Caliente","Perro Caliente Especial"
"37","Perro Caliente Pequeño Especial (2x6$)","6$","Repollo, cebolla, papas, queso amarillo, maíz, tocineta (Promoción 2 unidades)","Perro Caliente","Perro Caliente Especial"
"38","Perro Caliente Grande Especial (1x4.5$)","4.5$","Repollo, cebolla, papas, queso amarillo, maíz, tocineta (Unidad)","Perro Caliente","Perro Caliente Especial"
"39","Perro Caliente Grande Especial (2x8$)","8$","Repollo, cebolla, papas, queso amarillo, maíz, tocineta (Promoción 2 unidades)","Perro Caliente","Perro Caliente Especial"
"40","Mini Pepito de Pollo (1x5$)","5$","Tomate, lechuga, papas, queso amarillo (Unidad)","Pepitos","Mini Pepito"
"41","Mini Pepito de Pollo (2x7$)","7$","Tomate, lechuga, papas, queso amarillo (Promoción 2 unidades)","Pepitos","Mini Pepito"
"42","Mini Pepito de Pollo Crispy o Mixto (1x5$)","5$","Tomate, lechuga, papas, queso amarillo (Unidad)","Pepitos","Mini Pepito"
"43","Mini Pepito de Pollo Crispy o Mixto (2x10$)","10$","Tomate, lechuga, papas, queso amarillo (Promoción 2 unidades)","Pepitos","Mini Pepito"
"44","Pepito Granjero de Pollo o Mixto","8.40$","Tomate, lechuga, papas, queso amarillo","Pepitos","Pepito Granjero"
"45","Salchipapa Mixta","8$","Papas fritas con salchicha y carnes mixtas","Pepitos","Salchipapas"
ID,Nombre,Precio,Descripción,Categoría,Sub Categoría
46,"Hamburguesa Pollo a la Plancha (1 Unid)","5$","Papas, lechuga, tomate, queso amarillo","Hamburguesas","Hamburguesas Sencillas"
47,"Hamburguesa Pollo a la Plancha (2x9$)","9$","Papas, lechuga, tomate, queso amarillo","Hamburguesas","Hamburguesas Sencillas"
48,"Hamburguesa Pernil (1 Unid)","5$","Papas, lechuga, tomate, queso amarillo","Hamburguesas","Hamburguesas Sencillas"
49,"Hamburguesa Pernil (2x9$)","9$","Papas, lechuga, tomate, queso amarillo","Hamburguesas","Hamburguesas Sencillas"
50,"Hamburguesa Carne (1 Unid)","5$","Papas, lechuga, tomate, queso amarillo","Hamburguesas","Hamburguesas Sencillas"
51,"Hamburguesa Carne (2x9$)","9$","Papas, lechuga, tomate, queso amarillo","Hamburguesas","Hamburguesas Sencillas"
52,"Hamburguesa Chuleta (1 Unid)","5$","Papas, lechuga, tomate, queso amarillo","Hamburguesas","Hamburguesas Sencillas"
53,"Hamburguesa Chuleta (2x9$)","9$","Papas, lechuga, tomate, queso amarillo","Hamburguesas","Hamburguesas Sencillas"
54,"Hamburguesa Pollo Crispy (1 Unid)","5$","Papas, lechuga, tomate, queso amarillo","Hamburguesas","Hamburguesas Sencillas"
55,"Hamburguesa Pollo Crispy (2x9$)","9$","Papas, lechuga, tomate, queso amarillo","Hamburguesas","Hamburguesas Sencillas"
56,"Hamburguesa Sweet (1 Unid)","5$","Pollo empanizado, acompañado de salsa y ensalada de la casa, pepinillo","Hamburguesas","Hamburguesas Especiales"
57,"Hamburguesa Sweet (2x9$)","9$","Pollo empanizado, acompañado de salsa y ensalada de la casa, pepinillo","Hamburguesas","Hamburguesas Especiales"
58,"Hamburguesa Parrillera (1 Unid)","5$","Pollo, chorizo, carne, lechuga, tomate y salsas de la casa","Hamburguesas","Hamburguesas Especiales"
59,"Hamburguesa Parrillera (2x9$)","9$","Pollo, chorizo, carne, lechuga, tomate y salsas de la casa","Hamburguesas","Hamburguesas Especiales"
60,"Hamburguesa Especial","6.50$","Papas, lechuga, tomate, jamón, queso amarillo, tocineta, huevo","Hamburguesas","Hamburguesas Especiales"
61,"Hamburguesa Doble Proteína","8$","Papas, tomate, lechuga, full queso amarillo","Hamburguesas","Hamburguesas Dobles"
62,"Hamburguesa Doble Proteína Especial","10$","Papas, tomate, lechuga, tocineta, jamón, full queso amarillo, huevo","Hamburguesas","Hamburguesas Dobles"
63,"Shawarma de Pollo (1 Unid)","5.5$","Tomate, lechuga, pepinillo, salsas","Shawarma","Shawarma Tradicional"
64,"Shawarma de Pollo (2x9$)","9$","Tomate, lechuga, pepinillo, salsas","Shawarma","Shawarma Tradicional"
65,"Shawarma Mixto (1 Unid)","5.5$","Tomate, lechuga, pepinillo, salsas","Shawarma","Shawarma Tradicional"
66,"Shawarma Mixto (2x10$)","10$","Tomate, lechuga, pepinillo, salsas","Shawarma","Shawarma Tradicional"
67,"Shawarma de Kibbe","5.50$","Tomate, lechuga, pepinillo, salsas","Shawarma","Shawarma Especial"
68,"Shawarma de Falafel (1 Unid)","5.5$","Tomate, lechuga, pepinillo, salsas","Shawarma","Shawarma Vegetariano"
69,"Shawarma de Falafel (2x8$)","8$","Tomate, lechuga, pepinillo, salsas","Shawarma","Shawarma Vegetariano"
70,"Shawarma de Carne","6.00$","Tomate, lechuga, pepinillo, salsas","Shawarma","Shawarma Tradicional"
71,"Shawarma Doble Pollo (1 Unid)","7$","Tomate, lechuga, pepinillo, salsas","Shawarma","Shawarma Doble"
72,"Shawarma Doble Pollo (2x12$)","12$","Tomate, lechuga, pepinillo, salsas","Shawarma","Shawarma Doble"
73,"Shawarma Doble Mixto (1 Unid)","8.50$","Tomate, lechuga, pepinillo, salsas","Shawarma","Shawarma Doble"
74,"Shawarma Doble Mixto (2x15$)","15$","Tomate, lechuga, pepinillo, salsas","Shawarma","Shawarma Doble"
75,"Ración de Falafel (3 Unidades)","2$","3 piezas de falafel","Shawarma","Entradas / Adicionales"
76,"Kibbe (Unidad)","1$","1 pieza de kibbe","Shawarma","Entradas / Adicionales"
ID,Nombre,Precio,Descripción,Categoría,Sub Categoría
77,"Mortadela Extra Ricci","8.80$","Mortadela Extra Ricci","Charcutería","Mortadela"
78,"Chorifrito Plumrose","9.20$","Chorifrito Plumrose","Charcutería","Embutidos"
79,"Pechuga de Pavo Superior Molli","10.50$","Pechuga de pavo marca Superior Molli","Charcutería","Pavo"
80,"Queso Parmesano Quenaca (200g)","10.14$","Queso parmesano Quenaca presentación 200g","Charcutería","Quesos Madurados"
81,"Queso Manchego Quenaca (200g)","11.50$","Queso manchego Quenaca presentación 200g","Charcutería","Quesos Madurados"
82,"Queso Pecorino Quenaca (200g)","8.74$","Queso pecorino Quenaca presentación 200g","Charcutería","Quesos Madurados"
ID,Nombre,Precio,Descripción,Categoría,Sub Categoría
83,"Jamón Española Alimex","12.40$","Jamón Española marca Alimex","Charcutería","Jamón"
84,"Jamón Superior Tnt","11.30$","Jamón Superior marca Tnt","Charcutería","Jamón"
85,"Pavo Superior Tnt","11.10$","Pavo Superior marca Tnt","Charcutería","Pavo"
86,"Mortadela Especial Tnt","7.40$","Mortadela Especial marca Tnt","Charcutería","Mortadela"
87,"Queso Amarillo Colonia Doña Flora","17.50$","Queso amarillo tipo Colonia marca Doña Flora","Charcutería","Quesos Amarillos"
88,"Queso Gouda Campo Rico","20.99$","Queso Gouda marca Campo Rico","Charcutería","Quesos Amarillos"
89,"Queso Mozzarella Paisa","27.70$","Queso Mozzarella marca Paisa","Charcutería","Quesos Blancos / Madurados"
ID,Nombre,Precio,Descripción,Categoría,Sub Categoría
90,"Queso Especial Los Frailes","25.80$","Queso especial marca Los Frailes","Charcutería","Quesos"
91,"Salchicha Winner Ricci Grande (14 unid)","8$","Salchicha Winner Ricci paquete grande 14 unidades","Charcutería","Salchichas / Embutidos"
92,"Salchicha Winner Ricci Pequeña (6 unid)","3.15$","Salchicha Winner Ricci paquete pequeño 6 unidades","Charcutería","Salchichas / Embutidos"
93,"Queso Parmesano Ducal (100g)","6.40$","Queso Parmesano marca Ducal 100g","Charcutería","Quesos Madurados"
ID,Nombre,Precio,Descripción,Categoría,Sub Categoría
94,"Licor Cocorum Bagheera","15.00$","Licor sabor a coco Bagheera","Licores","Licores Dulces / Coctelería"
95,"Licor Demandis Amaretto","15.00$","Licor Amaretto marca Demandis","Licores","Licores Dulces / Coctelería"
96,"Licor Demandis Blue Curaçao","15.00$","Licor Blue Curaçao marca Demandis","Licores","Licores Dulces / Coctelería"
97,"Vino Doña Tita","5.99$","Vino marca Doña Tita","Licores","Vinos"
98,"Vino Casillero del Diablo Sauvignon Blanc","14.20$","Vino blanco Sauvignon Blanc Casillero del Diablo","Licores","Vinos Blancos"
99,"Breeze Ice Vodka Guaraná","4.10$","Bebida a base de vodka sabor guaraná Breeze Ice","Licores","Bebidas Preparadas / Cocteles"
100,"Vino Talamanca Sauvignon Blanc","9.50$","Vino blanco Sauvignon Blanc Talamanca (Chile)","Licores","Vinos Blancos"
101,"Vino Medalla Real Cabernet Sauvignon Santa Rita","17.60$","Vino tinto Cabernet Sauvignon Medalla Real Reserva Santa Rita","Licores","Vinos Tintos"
102,"Vino Medalla Real Chardonnay Santa Rita","17.60$","Vino blanco Chardonnay Medalla Real Reserva Santa Rita","Licores","Vinos Blancos"
103,"Vino 3 Medallas Chardonnay Santa Rita","12.00$","Vino blanco Chardonnay 3 Medallas Santa Rita","Licores","Vinos Blancos"
ID,Nombre,Precio,Descripción,Categoría,Sub Categoría
104,"Vino Santa Rita 120 Rosé","15.00$","Vino rosado Reserva Especial Santa Rita 120","Licores","Vinos Rosados"
105,"Vino Perlino Prosecco Rosé","27.00$","Vino espumoso Perlino Prosecco Rosé","Licores","Vinos Espumosos"
106,"Cava Anna de Codorníu Blanc de Blancs","35.00$","Cava Brut Blanc de Blancs Anna de Codorníu","Licores","Vinos Espumosos / Cava"
107,"Cava Codorníu Ars Collecta Grand Rosé","70.00$","Cava Grand Rosé Reserva Ars Collecta Codorníu","Licores","Vinos Espumosos / Cava"
108,"Cava Codorníu Ars Collecta Blanc de Blancs","70.00$","Cava Blanc de Blancs Reserva Ars Collecta Codorníu","Licores","Vinos Espumosos / Cava"
